SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,18910 Bothell-Everett Hwy Unit H1,Bothell,WA,98012,290000,3,2.5,North Creek,1106,236287,1988,44,262,382,Active,,,http://www.redfin.com/WA/Bothell/18910-Bothell-Everett-Hwy-98012/unit-H1/home/2826795,NWMLS,1225538,N,Y,47.8260994,-122.2085374
PAST SALE,November-17-2017,Townhouse,24035 40th Lane SE,Bothell,WA,98021,430000,3,2.25,Bothell,1449,1567,2006,68,297,50,Sold,,,http://www.redfin.com/WA/Bothell/24035-40th-Ln-SE-98021/home/11884352,NWMLS,1188690,N,Y,47.779725,-122.178344
PAST SALE,November-30-2017,Single Family Residential,1925 237th St SE,Bothell,WA,98021,642800,3,1.75,Canyon Park,1634,10454,1986,55,393,,Sold,,,http://www.redfin.com/WA/Bothell/1925-237th-St-SE-98021/home/2807200,NWMLS,1214151,N,Y,47.7838926,-122.206241
PAST SALE,December-18-2017,Single Family Residential,18632 10th Ave SE #10,Bothell,WA,98012,450000,3,2.5,Bothell,1369,4000,2004,37,329,60,Sold,,,http://www.redfin.com/WA/Bothell/18632-10th-Ave-SE-98012/unit-10/home/2913281,NWMLS,1218739,N,Y,47.8283319,-122.2179719
PAST SALE,January-4-2018,Single Family Residential,19307 25th Ave SE,Bothell,WA,98012,595000,4,2.25,Thrashers Corner,1996,3000,2005,20,298,41,Sold,,,http://www.redfin.com/WA/Bothell/19307-25th-Ave-SE-98012/unit-93/home/2909203,NWMLS,1224681,N,Y,47.8226767,-122.1988257
PAST SALE,November-15-2017,Single Family Residential,19111 13th Ave SE,Bothell,WA,98012,615000,5,2.75,Bothell,2678,4356,2008,70,230,21,Sold,,,http://www.redfin.com/WA/Mill-Creek/19111-13th-Ave-SE-98012/home/21501561,NWMLS,1203583,N,Y,47.8248288,-122.2145348
PAST SALE,January-17-2018,Single Family Residential,19624 2nd Dr SE,Bothell,WA,98012,644000,5,2.75,Bothell,2225,54184,2013,7,289,43,Sold,,,http://www.redfin.com/WA/Bothell/19624-2nd-Dr-SE-98012/unit-47/home/44581814,NWMLS,1228701,N,Y,47.820306,-122.22842
PAST SALE,January-5-2018,Single Family Residential,632 195th St SE,Bothell,WA,98012,618500,4,2.5,Canyon Park,3013,3920,2010,19,205,16,Sold,,,http://www.redfin.com/WA/Bothell/632-195th-St-SE-98012/home/26850874,NWMLS,1201801,N,Y,47.8219352,-122.2214731
PAST SALE,November-21-2017,Single Family Residential,19609 93rd Place NE,Bothell,WA,98011,796000,4,3.25,Bothell,3395,104544,2007,64,234,148,Sold,,,http://www.redfin.com/WA/Bothell/19609-93rd-Pl-NE-98011/unit-10/home/12318269,NWMLS,1173812,N,Y,47.7701244,-122.2158503
PAST SALE,January-12-2018,Single Family Residential,2318 177th St SE,Bothell,WA,98012,490000,4,2.25,Mays Pond,2008,27443,1975,12,244,30,Sold,,,http://www.redfin.com/WA/Bothell/2318-177th-St-SE-98012/home/2677497,NWMLS,1211518,N,Y,47.8368875,-122.200838
PAST SALE,December-20-2017,Single Family Residential,1926 181st St SE,Bothell,WA,98012,425000,3,2,Bothell,1336,6098,1980,35,318,,Sold,,,http://www.redfin.com/WA/Bothell/1926-181st-St-SE-98012/home/2791142,NWMLS,1214159,N,Y,47.8339906,-122.2061693
PAST SALE,December-28-2017,Single Family Residential,20200 25th Dr SE,Bothell,WA,98012,815900,4,3.25,Bothell,3532,6970,2003,27,231,27,Sold,,,http://www.redfin.com/WA/Bothell/20200-25th-Dr-SE-98012/home/2868807,NWMLS,1207698,N,Y,47.8146679,-122.1992053
PAST SALE,November-20-2017,Single Family Residential,18715 22nd Dr SE,Bothell,WA,98012,471000,3,2,Bothell,1658,10019,1997,65,284,92,Sold,,,http://www.redfin.com/WA/Bothell/18715-22nd-Dr-SE-98012/home/2852750,NWMLS,1195747,N,Y,47.8280446,-122.2022719
PAST SALE,November-8-2017,Single Family Residential,22615 38th Dr SE,Bothell,WA,98021,755000,3,2.5,Bothell,2336,3920,2014,77,323,65,Sold,,,http://www.redfin.com/WA/Bothell/22615-38th-Dr-SE-98021/home/69351802,NWMLS,1202203,N,Y,47.7925572,-122.1821062
PAST SALE,December-22-2017,Single Family Residential,17521 40th Dr SE,Bothell,WA,98012,735000,5,3.5,Mill Creek,3114,3920,2015,33,236,,Sold,,,http://www.redfin.com/WA/Bothell/17521-40th-Dr-SE-98012/home/102284080,NWMLS,1205885,N,Y,47.8384701,-122.1769088
PAST SALE,December-8-2017,Townhouse,24120 39th Ct SE,Bothell,WA,98021,534000,3,2.5,Canyon Park,1958,1750,2007,47,273,50,Sold,,,http://www.redfin.com/WA/Bothell/24120-39th-Ct-SE-98021/home/17127059,NWMLS,1197816,N,Y,47.7789534,-122.1800265
PAST SALE,December-13-2017,Condo/Co-op,2201 192nd St SE Unit U102,Bothell,WA,98012,315000,3,1.75,Bothell,1336,379380,1999,42,236,419,Sold,,,http://www.redfin.com/WA/Bothell/2201-192nd-St-SE-98012/unit-U102/home/2866583,NWMLS,1199698,N,Y,47.8263546,-122.2034132
PAST SALE,January-10-2018,Single Family Residential,326 181st Place SW,Bothell,WA,98012,420000,3,1.5,Bothell,1440,8276,1962,14,292,,Sold,,,http://www.redfin.com/WA/Bothell/326-181st-Pl-SW-98012/home/2662337,NWMLS,1224402,N,Y,47.8334406,-122.2383149
PAST SALE,November-30-2017,Single Family Residential,19023 25th Dr SE #2,Bothell,WA,98012,450000,4,2.5,Crystal Lake,1606,2309,2011,55,280,58,Sold,,,http://www.redfin.com/WA/Bothell/19023-25th-Dr-SE-98012/unit-2/home/40602963,NWMLS,1208380,N,Y,47.8250104,-122.1987901
PAST SALE,December-14-2017,Single Family Residential,22526 14th Place W,Bothell,WA,98021,446500,3,2.25,Bothell,1376,9148,1988,41,324,,Sold,,,http://www.redfin.com/WA/Bothell/22526-14th-Pl-W-98021/home/2802961,NWMLS,1195760,N,Y,47.7938295,-122.2526401
PAST SALE,January-11-2018,Single Family Residential,3806 219th Place SE,Bothell,WA,98021,701000,4,3,Bothell,2287,2829,2013,13,307,120,Sold,,,http://www.redfin.com/WA/Bothell/3806-219th-Pl-SE-98021/unit-54/home/44637021,NWMLS,1226514,N,Y,47.7983157,-122.1822472
PAST SALE,November-3-2017,Single Family Residential,2513 187th Place SE,Bothell,WA,98012,552500,3,2.75,North Bothell,1777,18731,1980,82,311,,Sold,,,http://www.redfin.com/WA/Bothell/2513-187th-Pl-SE-98012/home/2792930,NWMLS,1199118,N,Y,47.8279967,-122.1986644
MLS Listing,,Condo/Co-op,2009 196th St SE Unit F303,Bothell,WA,98012,275000,2,2,Bothell,924,,2000,1,298,273,Active,,,http://www.redfin.com/WA/Bothell/2009-196th-St-SE-98012/unit-F303/home/2884464,NWMLS,1237214,N,Y,47.821656,-122.2047141
MLS Listing,,Single Family Residential,18812 10th Dr SE Lot 7,Bothell,WA,98012,949950,5,2.75,North Creek,2704,18731,2018,1,351,,Active,January-28-2018 01:00 PM,January-28-2018 04:00 PM,http://www.redfin.com/WA/Bothell/18812-10th-Dr-SE-98012/unit-7/home/144763763,NWMLS,1237045,N,Y,47.8262206,-122.2177753
MLS Listing,,Townhouse,23125 15th Ave SE Unit F-3,Bothell,WA,98021,360000,2,2.5,Canyon Park,1228,,1994,1,293,374,Active,January-27-2018 01:00 PM,January-27-2018 04:00 PM,http://www.redfin.com/WA/Bothell/23125-15th-Ave-SE-98021/unit-F3/home/2839125,NWMLS,1236725,N,Y,47.7878586,-122.2111955
MLS Listing,,Multi-Family (2-4 Unit),531 Duchess Rd,Bothell,WA,98012,850000,6,5,Kennard Corner,2704,11326,1991,1,314,,Active,,,http://www.redfin.com/WA/Bothell/531-Duchess-Rd-98012/home/2806295,NWMLS,1236951,N,Y,47.8180971,-122.2232815
